[+1.4034710337840e+07, +9.3861779010147e-19]
[+1.4032309133511e+07, +9.4230730665109e-19]
[+1.4029904963844e+07, +9.4600143942297e-19]
[+1.4027497841140e+07, +9.4970016948915e-19]
[+1.4025087777704e+07, +9.5340347791596e-19]
[+1.4022674785842e+07, +9.5711134576418e-19]
[+1.4020258877868e+07, +9.6082375408921e-19]
[+1.4017840066095e+07, +9.6454068394118e-19]
[+1.4015418362841e+07, +9.6826211636515e-19]
[+1.4012993780428e+07, +9.7198803240124e-19]
[+1.4010566331178e+07, +9.7571841308478e-19]
[+1.4008136027418e+07, +9.7945323944647e-19]
[+1.4005702881477e+07, +9.8319249251252e-19]
[+1.4003266905687e+07, +9.8693615330482e-19]
[+1.4000828112383e+07, +9.9068420284107e-19]
[+1.3998386513900e+07, +9.9443662213495e-19]
[+1.3995942122579e+07, +9.9819339219626e-19]
[+1.3993494950760e+07, +1.0019544940311e-18]
[+1.3991045010787e+07, +1.0057199086418e-18]
[+1.3988592315005e+07, +1.0094896170276e-18]
[+1.3986136875762e+07, +1.0132636001843e-18]
[+1.3983678705407e+07, +1.0170418391043e-18]
[+1.3981217816290e+07, +1.0208243147774e-18]
[+1.3978754220765e+07, +1.0246110081905e-18]
[+1.3976287931186e+07, +1.0284019003275e-18]
[+1.3973818959908e+07, +1.0321969721702e-18]
[+1.3971347319289e+07, +1.0359962046976e-18]
[+1.3968873021686e+07, +1.0397995788868e-18]
[+1.3966396079459e+07, +1.0436070757125e-18]
[+1.3963916504969e+07, +1.0474186761476e-18]
[+1.3961434310577e+07, +1.0512343611631e-18]
[+1.3958949508646e+07, +1.0550541117284e-18]
[+1.3956462111538e+07, +1.0588779088115e-18]
[+1.3953972131619e+07, +1.0627057333787e-18]
[+1.3951479581252e+07, +1.0665375663952e-18]
[+1.3948984472802e+07, +1.0703733888253e-18]
[+1.3946486818635e+07, +1.0742131816322e-18]
[+1.3943986631117e+07, +1.0780569257781e-18]
[+1.3941483922614e+07, +1.0819046022249e-18]
[+1.3938978705492e+07, +1.0857561919337e-18]
[+1.3936470992117e+07, +1.0896116758654e-18]
[+1.3933960794856e+07, +1.0934710349804e-18]
